{'timestamp': 1759261995.0068402, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.0252151, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.0410829, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.0509422, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.063473, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.0845268, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.105096, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.1187134, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.1410797, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.157077, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.173073, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.183322, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.1941612, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.2171443, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.2370865, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.2516305, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.262659, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.2938538, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.3064048, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.3228264, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.338557, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.3541608, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.3705518, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261995.390469, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
